ID1,PD,ID2
23,-1,7
9,1,20
1,3,34
7,3,27
23,-2,9
34,-5,20
27,-4,1
7,-1,9
34,-3,23
20,-4,1
27,-1,9
7,3,34
1,4,23
20,3,27
9,4,34
1,-1,7
23,1,20
34,-3,27
9,-4,1
20,-4,7
27,2,23
15,2,2
8,2,22
17,1,24
2,4,31
15,-1,8
24,-2,22
31,3,17
2,3,8
24,5,15
22,-1,17
31,-2,8
2,5,24
17,2,15
22,5,31
8,3,24
17,-4,2
15,4,22
24,1,31
8,1,17
22,-4,2
31,-1,15
18,-3,10
19,-3,11
33,-3,14
10,1,19
14,2,18
11,1,33
14,-1,10
33,-2,19
18,-1,11
10,3,33
11,-2,14
19,-4,18
11,2,10
18,1,33
14,-1,19
28,-4,3
29,3,4
26,-4,25
3,4,13
28,1,29
25,-4,4
13,2,26
3,2,29
25,-1,28
4,3,26
13,1,29
3,5,25
26,2,28
4,5,13
29,-4,25
26,-1,3
28,-3,4
25,-3,13
29,-2,26
4,2,3
13,5,28
30,-1,12
5,4,32
21,-3,6
12,-3,16
30,-4,5
6,4,32
16,1,21
12,-3,5
6,4,30
32,-1,21
16,-3,5
12,3,6
21,1,30
32,-1,16
5,-2,6
21,-1,12
30,-1,32
6,2,16
5,1,21
32,-4,12
16,-3,30
1,3.333333333,32
17,2,16
9,3.333333333,24
25,1.666666667,8
5,0.6666666667,28
21,-0.6666666667,12
13,0.6666666667,20
29,-2.666666667,4
3,2,30
19,-2.666666667,14
11,1.666666667,22
27,-0.3333333333,6
7,1.666666667,26
23,-3.333333333,10
15,0.6666666667,18
31,-4,2
1,4,17
9,-3.666666667,25
5,1,12
13,-2.333333333,4
3,1.666666667,14
11,-2.333333333,6
7,1.666666667,10
15,-2.666666667,2
1,3.333333333,25
5,1,4
3,1.333333333,6
7,-2,2
1,3.666666667,5
3,-0.3333333333,2
1,-1.333333333,2
